detector,descriptor,frame_index,track_id,keypoint_count,match_count,filtered_match_count,num_pairs,ttc_camera
ORB,BRIEF,5,1,500,61,61,504,26.1552
ORB,ORB,5,1,500,58,57,444,33.0269
ORB,FREAK,5,1,173,33,33,80,47.9185
ORB,AKAZE,5,1,500,44,38,182,nan
ORB,SIFT,5,1,500,56,54,404,31.6008
AKAZE,BRIEF,5,1,1526,104,103,1006,15.8694
AKAZE,ORB,5,1,1522,97,97,942,15.3935
AKAZE,FREAK,5,1,1526,98,97,966,15.1373
AKAZE,AKAZE,5,1,1526,93,91,854,15.6563
AKAZE,SIFT,5,1,1526,101,101,995,16.1894
SIFT,BRIEF,5,1,1686,102,100,575,13.9506
SIFT,ORB,5,1,1661,82,81,441,14.0268
SIFT,FREAK,5,1,1686,85,85,394,13.0899
SIFT,AKAZE,5,1,1877,32,31,137,15.3657
SIFT,SIFT,5,1,1877,84,81,402,13.5416
SHITOMASI,BRIEF,5,1,1582,89,87,501,13.5599
SHITOMASI,ORB,5,1,1569,84,84,435,12.9056
SHITOMASI,FREAK,5,1,1614,72,70,371,12.9810
SHITOMASI,AKAZE,5,1,1806,90,89,549,12.7024
SHITOMASI,SIFT,5,1,1806,90,90,543,12.3506
HARRIS,BRIEF,6,1,1054,80,80,168,13.3491
HARRIS,ORB,6,1,1049,79,79,160,13.0726
HARRIS,FREAK,6,1,1067,74,72,147,12.7284
HARRIS,AKAZE,6,1,1108,81,81,174,13.6986
HARRIS,SIFT,6,1,1108,81,81,176,12.9226
FAST,BRIEF,6,1,915,54,54,281,12.4514
FAST,ORB,6,1,903,52,52,266,13.0089
FAST,FREAK,6,1,925,42,39,175,13.8326
FAST,AKAZE,6,1,972,56,56,297,12.9934
FAST,SIFT,6,1,972,55,55,292,12.8780
BRISK,BRIEF,6,1,2856,160,160,1818,19.6221
BRISK,ORB,6,1,2829,136,133,1212,18.5527
BRISK,FREAK,6,1,2427,141,139,1283,16.1079
BRISK,AKAZE,6,1,2886,138,122,1047,18.8188
BRISK,SIFT,6,1,2886,155,151,1636,16.6205
ORB,BRIEF,6,1,500,67,67,602,14.2972
ORB,ORB,6,1,500,61,59,525,11.9418
ORB,FREAK,6,1,179,39,39,127,19.8900
ORB,AKAZE,6,1,500,50,42,237,10.8056
ORB,SIFT,6,1,500,64,57,484,19.2621
AKAZE,BRIEF,6,1,1566,105,105,1055,14.2409
AKAZE,ORB,6,1,1558,99,99,957,14.3117
AKAZE,FREAK,6,1,1566,94,92,867,13.7623
AKAZE,AKAZE,6,1,1566,96,95,923,13.7241
AKAZE,SIFT,6,1,1566,101,100,974,13.9585
SIFT,BRIEF,6,1,1707,105,102,481,10.6085
SIFT,ORB,6,1,1681,95,91,390,10.9288
SIFT,FREAK,6,1,1723,90,87,302,10.6881
SIFT,AKAZE,6,1,1931,37,35,134,10.5745
SIFT,SIFT,6,1,1931,92,88,390,10.9651
SHITOMASI,BRIEF,6,1,1609,87,87,559,13.4900
SHITOMASI,ORB,6,1,1585,82,82,455,13.9909
SHITOMASI,FREAK,6,1,1649,70,67,362,14.6183
SHITOMASI,AKAZE,6,1,1877,88,88,576,13.2206
SHITOMASI,SIFT,6,1,1877,87,87,553,14.1323
HARRIS,BRIEF,7,1,1212,89,88,273,13.6852
HARRIS,ORB,7,1,1201,88,88,273,13.4445
HARRIS,FREAK,7,1,1225,80,79,236,14.6438
HARRIS,AKAZE,7,1,1263,88,88,272,15.8156
HARRIS,SIFT,7,1,1263,88,88,273,13.4692
FAST,BRIEF,7,1,918,52,52,279,17.5012
FAST,ORB,7,1,908,51,51,257,36.7195
FAST,FREAK,7,1,930,39,38,128,16.3457
FAST,AKAZE,7,1,977,54,54,309,14.5418
FAST,SIFT,7,1,977,54,54,309,15.8003
BRISK,BRIEF,7,1,2849,165,164,1804,17.8042
BRISK,ORB,7,1,2832,144,143,1418,16.8170
BRISK,FREAK,7,1,2415,142,138,1015,15.2955
BRISK,AKAZE,7,1,2886,132,118,792,16.4769
BRISK,SIFT,7,1,2886,159,155,1552,19.0653
ORB,BRIEF,7,1,500,62,62,570,16.7181
ORB,ORB,7,1,500,59,57,472,16.4315
ORB,FREAK,7,1,174,28,27,51,nan
ORB,AKAZE,7,1,500,41,35,135,13.1649
ORB,SIFT,7,1,500,54,52,380,16.1392
AKAZE,BRIEF,7,1,1529,108,108,1245,16.5494
AKAZE,ORB,7,1,1527,103,102,1086,17.6110
AKAZE,FREAK,7,1,1529,100,99,1101,16.4049
AKAZE,AKAZE,7,1,1529,102,100,1094,16.2679
AKAZE,SIFT,7,1,1529,105,104,1072,16.3024
SIFT,BRIEF,7,1,1740,115,115,841,12.4716
SIFT,ORB,7,1,1708,100,96,623,12.8497
SIFT,FREAK,7,1,1744,93,90,567,12.8176
SIFT,AKAZE,7,1,1963,40,38,177,14.4604
SIFT,SIFT,7,1,1963,103,96,629,13.0749
SHITOMASI,BRIEF,7,1,1622,91,90,657,11.7682
SHITOMASI,ORB,7,1,1604,85,85,541,11.3991
SHITOMASI,FREAK,7,1,1661,80,77,458,11.1125
SHITOMASI,AKAZE,7,1,1894,90,90,642,12.7547
SHITOMASI,SIFT,7,1,1894,90,90,625,11.6995
HARRIS,BRIEF,8,1,704,88,88,188,39.2535
HARRIS,ORB,8,1,701,87,86,162,37.2635
HARRIS,FREAK,8,1,714,76,75,130,38.4683
HARRIS,AKAZE,8,1,727,91,91,275,42.2339
HARRIS,SIFT,8,1,727,91,91,250,73.6443
FAST,BRIEF,8,1,917,59,59,357,13.3065
FAST,ORB,8,1,911,57,57,318,12.4097
FAST,FREAK,8,1,927,46,42,204,12.3671
FAST,AKAZE,8,1,977,59,59,357,13.3065
FAST,SIFT,8,1,977,59,59,357,13.3065
BRISK,BRIEF,8,1,2868,157,157,1878,16.2986
BRISK,ORB,8,1,2854,142,139,1479,15.9635
BRISK,FREAK,8,1,2403,133,129,1072,17.3624
BRISK,AKAZE,8,1,2893,130,114,934,19.7746
BRISK,SIFT,8,1,2893,152,149,1523,16.5978
ORB,BRIEF,8,1,500,54,54,352,18.8044
ORB,ORB,8,1,500,54,53,371,12.2470
ORB,FREAK,8,1,187,26,26,37,10.0855
ORB,AKAZE,8,1,500,36,31,110,10.8519
ORB,SIFT,8,1,500,47,45,246,8.5433
AKAZE,BRIEF,8,1,1547,115,115,1266,13.9141
AKAZE,ORB,8,1,1541,107,104,1134,14.0399
AKAZE,FREAK,8,1,1547,103,102,1110,13.8654
AKAZE,AKAZE,8,1,1547,109,105,1173,14.8163
AKAZE,SIFT,8,1,1547,110,108,1165,13.9180
SIFT,BRIEF,8,1,1731,122,121,1028,12.5371
SIFT,ORB,8,1,1710,104,98,766,12.8737
SIFT,FREAK,8,1,1743,97,96,713,12.4897
SIFT,AKAZE,8,1,1954,46,44,231,10.3481
SIFT,SIFT,8,1,1954,96,93,635,13.2206
SHITOMASI,BRIEF,8,1,1621,95,95,688,13.4037
SHITOMASI,ORB,8,1,1602,93,91,663,13.7560
SHITOMASI,FREAK,8,1,1658,76,76,481,13.8636
SHITOMASI,AKAZE,8,1,1889,95,95,694,13.3032
SHITOMASI,SIFT,8,1,1889,96,96,716,14.1113
HARRIS,BRIEF,9,1,373,62,61,34,13.0961
HARRIS,ORB,9,1,373,62,62,33,15.3385
HARRIS,FREAK,9,1,374,57,53,27,13.1502
HARRIS,AKAZE,9,1,378,62,61,34,17.6941
HARRIS,SIFT,9,1,378,63,63,37,15.3385
FAST,BRIEF,9,1,888,55,55,379,12.8545
FAST,ORB,9,1,883,55,55,374,12.8628
FAST,FREAK,9,1,897,48,45,255,12.9494
FAST,AKAZE,9,1,954,56,56,392,13.2606
FAST,SIFT,9,1,954,56,56,389,12.9494
BRISK,BRIEF,9,1,2904,174,174,2071,16.5577
BRISK,ORB,9,1,2888,153,152,1575,15.1317
BRISK,FREAK,9,1,2432,150,148,1471,19.1380
BRISK,AKAZE,9,1,2930,146,135,1262,17.9902
BRISK,SIFT,9,1,2930,171,169,2096,16.9983
ORB,BRIEF,9,1,500,53,53,406,12.8522
ORB,ORB,9,1,500,50,48,357,12.5823
ORB,FREAK,9,1,186,24,24,34,26.0522
ORB,AKAZE,9,1,500,31,29,102,9.2040
ORB,SIFT,9,1,500,42,41,253,13.0754
AKAZE,BRIEF,9,1,1572,118,118,1474,13.8663
AKAZE,ORB,9,1,1567,110,110,1183,13.2956
AKAZE,FREAK,9,1,1572,108,106,1201,13.1753
AKAZE,AKAZE,9,1,1572,111,110,1284,13.8573
AKAZE,SIFT,9,1,1572,117,117,1402,14.1834
SIFT,BRIEF,9,1,1750,119,115,743,12.7265
SIFT,ORB,9,1,1720,101,99,596,12.2073
SIFT,FREAK,9,1,1761,100,98,545,12.7663
SIFT,AKAZE,9,1,1984,43,40,195,12.5392
SIFT,SIFT,9,1,1984,101,97,556,12.6757
SHITOMASI,BRIEF,9,1,1654,94,92,658,12.3718
SHITOMASI,ORB,9,1,1634,90,86,598,12.4906
SHITOMASI,FREAK,9,1,1689,75,73,458,12.5040
SHITOMASI,AKAZE,9,1,1917,96,96,689,12.3409
SHITOMASI,SIFT,9,1,1917,93,91,652,12.4139
HARRIS,BRIEF,10,1,1092,34,34,21,13.2186
HARRIS,ORB,10,1,1092,34,34,21,12.8711
HARRIS,FREAK,10,1,1094,32,32,21,nan
HARRIS,AKAZE,10,1,1119,34,34,21,22.5986
HARRIS,SIFT,10,1,1119,34,34,21,12.1403
FAST,BRIEF,10,1,927,54,52,304,14.1092
FAST,ORB,10,1,919,53,52,304,14.1092
FAST,FREAK,10,1,935,44,43,242,13.3820
FAST,AKAZE,10,1,982,57,57,399,20.8002
FAST,SIFT,10,1,982,56,55,396,25.0582
BRISK,BRIEF,10,1,2988,167,165,1796,15.3221
BRISK,ORB,10,1,2973,146,144,1478,12.8151
BRISK,FREAK,10,1,2485,144,144,1380,12.3424
BRISK,AKAZE,10,1,3022,140,120,1054,12.1551
BRISK,SIFT,10,1,3022,165,165,1734,11.6520
ORB,BRIEF,10,1,500,43,42,257,10.8171
ORB,ORB,10,1,500,42,42,289,11.2750
ORB,FREAK,10,1,190,20,18,22,23.3467
ORB,AKAZE,10,1,500,42,26,109,9.7913
ORB,SIFT,10,1,500,46,37,209,10.0065
AKAZE,BRIEF,10,1,1567,116,116,1523,12.1010
AKAZE,ORB,10,1,1562,113,112,1455,12.2355
AKAZE,FREAK,10,1,1567,110,109,1448,11.7818
AKAZE,AKAZE,10,1,1567,113,112,1528,12.2037
AKAZE,SIFT,10,1,1567,117,116,1530,12.1036
SIFT,BRIEF,10,1,1775,104,100,558,11.5465
SIFT,ORB,10,1,1746,85,81,469,11.3617
SIFT,FREAK,10,1,1782,82,80,444,11.4333
SIFT,AKAZE,10,1,2043,34,34,152,11.6949
SIFT,SIFT,10,1,2043,83,79,463,11.2414
SHITOMASI,BRIEF,10,1,1608,90,90,652,13.0164
SHITOMASI,ORB,10,1,1581,86,85,588,13.5885
SHITOMASI,FREAK,10,1,1643,68,66,445,13.0137
SHITOMASI,AKAZE,10,1,1874,91,90,631,13.0553
SHITOMASI,SIFT,10,1,1874,90,90,619,13.2947
HARRIS,BRIEF,11,1,481,76,71,122,10.9716
HARRIS,ORB,11,1,479,68,67,90,11.0379
HARRIS,FREAK,11,1,481,58,50,71,11.1055
HARRIS,AKAZE,11,1,496,76,72,123,10.9721
HARRIS,SIFT,11,1,496,72,72,123,5.9845
FAST,BRIEF,11,1,903,53,52,347,13.2068
FAST,ORB,11,1,894,52,52,347,13.3597
FAST,FREAK,11,1,918,43,40,250,13.8848
FAST,AKAZE,11,1,955,55,55,393,26.3583
FAST,SIFT,11,1,955,55,55,394,13.5011
BRISK,BRIEF,11,1,2977,166,166,2126,11.3157
BRISK,ORB,11,1,2955,149,147,1776,12.7628
BRISK,FREAK,11,1,2443,141,141,1652,12.4724
BRISK,AKAZE,11,1,3013,140,131,1308,12.4274
BRISK,SIFT,11,1,3013,162,157,1974,11.3157
ORB,BRIEF,11,1,500,42,42,255,11.8335
